,
#,文娱

weread.qq.com,微信读书
play.google.com/books,谷歌图书
app.flowoss.com,flowreader
reader.nxnow.top,阅读
www.neat-reader.cn,neatreader
reader.960960.xyz,koodo
ixdzs8.com,爱下电子书
www.jiumodiary.com,鸠摩搜书
zxcs.info,知轩藏书
zh.annas-archive.org,安娜的档案馆
z-lib.gs,zlibrary
ifun.cool,趣集
onehu.xyz,我不是盐神
www.chneye.com,呼呼大睡
www.esjzone.cc,esjzone
www.linovelib.com,哔哩轻小说
www.lightnovel.fun,轻之国度
masiro.me,真白萌
www.mangabz.com,mangabz
www.volmoe.com,kox.moe
www.amazon.com/sendtokindle,send2kindle
books.fishhawk.top,轻小说机翻站
acg.rip,acgrip
nyaa.si,nyaa
dmhy.org,动漫花园
www.gying.org,btnull
yuc.wiki,新番资讯
anilist.co,anilist
ani.gamer.com.tw,巴哈姆特动画疯
eacg.net,eacg
ddys.site,低端影视
m3u8player.org,m3u8播放器
whatslink.info,磁力预览

#,小工具

www.tldraw.com,tldraw白板
www.photopea.com,photopea
app.diagrams.net,draw.io流程图
mubu.com,幕布思维导图
telegra.ph,telegraph
wallspic.com,wallspic壁纸
www.1ppt.com,第一ppt
www.ypppt.com,优品ppt
greasyfork.org/zh-CN,greasyfork油猴脚本
trackerslist.com,bttracker
www.notion.so,notion
www.paperpass.com,paperpass
note.wps.cn,wps便签
www.ilovepdf.com/zh-cn,ilovepdf
www.kdocs.cn,金山文档
www.quarryman.cn/insect,昆虫识别
web.baimiaoapp.com,白描识图
cli.im/deqr,草料二维码
imagestool.com/zh_CN/compress-images-to-specified-size,imagestool
www.picdiet.com,picdiet
bigjpg.com,bigjpg
yandex.ru/images,yandex搜图
images.google.com,谷歌搜图
saucenao.com,saucenao搜图
riyutool.com/keyboard,日语输入法
gridline.netlify.app,网格页面
tiermaker.com,从夯到拉排名
web.localsend.org,localsend-web

#,开发

ol.woobx.cn,一个木函
hexed.it,16进制编辑器
www.diffchecker.com/zh-Hans/text-compare,文本对比
abctool.gitlab.io/encoding-detector,Abc文件编码检测工具
www.runoob.com/runcode,html运行
webhookinbox.com,web回调测试
www.postman.com/web,postman
app.apifox.com,apifox
highlightcode.com,代码高亮
www.toolscat.com/dev/data-generator,生成sql测试数据
sitdown.mdnice.com/Demo.html,html2md
www.meiguodizhi.com,外国身份生成
10minutemail.net,十分钟邮箱
etempmail.com,临时教育邮箱
sms-activate.org/cn/freeNumbers,接码平台
katex.org/docs/supported.html,katex语法
arch.icekylin.online,archlinux安装手册
bashupload.com,bashupload
fars.ee/f,fars.ee
0x0.st,0x0.st
www.file.io,file.io

#,平台

free-for.dev,free-for免费资源
cloud.mongodb.com,mongodb
www.sqlpub.com,sqlpub
freedb.tech,freedb.tech
db4free.net,db4free.net
ap-northeast-1.run.claw.cloud,claw.cloud
www.cloudflare.com,cloudflare
dns.he.net,he.net
tld-list.com,tld域名比价
nic.eu.org,eu.org域名
www.now.cc,now.cc域名
register.us.kg,dpdns.org域名
stackblitz.com,stackblitz
replit.com,replit
www.koyeb.com,koyeb
glitch.com,glitch.me
uptimerobot.com,uptimerobot
panel.ct8.pl,ct8.pl
www.thc.org/segfault,segfault
vault.bitwarden.com,bitwarden
www.multcloud.com,multcloud
www.backblaze.com,b2oss
mydrive.ch,mydrive
infini-cloud.net,infinicloud
www.dropbox.com,dropbox
terabox.com,terabox
mypikpak.net/drive/all,pikpak

#,软件

macked.app,macked
onejailbreak.com,onejailbreak
alternativeto.net,寻找替代品
apkpremier.com,apkpremier
ipalibrary.me,ipalibrary
en.uptodown.com,uptodown
store.rg-adguard.net,msstoregp
jetbra.in/s,jetbrains破解

#,游戏

www.protondb.com,proton兼容查询
www.gamer520.com,laoquzhang520
game.hullqin.cn,桌游合集
lichess.org,国际象棋
flash.zczc.cz,flash游戏
dos.lol,dos游戏
nes.heheda.top,红白机游戏
www.mhhf.com,灵动游戏
h5mota.com,魔塔
www.gobing.cn/experiment/vibrate,手柄测试
www.autopiano.cn,网页钢琴

#,沉痛悼念

www.freenom.com,freenom域名
www.sitelutions.com,rr.nu域名
www.zzzfun.one,zzzfun
acgngames.net,acgngame
www.e365xs.com,365中文小说网
hooks.upyun.com,又拍云回调服务
www.croxy.network,croxy网页代理
www.loadbt.com,loadbt
webtor.io,webtor磁力播放

#,不可名状

ghproxy.link,gh代理发布页
ghproxy.cfd,gh代理
www.btsou.cc,磁力搜
soutubot.moe,搜本子机器人
manhuabika.com,哔咔漫画
dashboard.tipatipa.xyz,哔咔骑士后台
e-hentai.org,ehentai表站
nhentai.net,nhentai
18comic.vip,禁漫天堂
hitomi.la,hitomi
b.iacg.site,iacg博客
sukebei.nyaa.si,nyaa里站
hanime1.me,hanime里番
www.iwara.tv,iware站
mmgal.com,忧郁的loli
lzacg.org,量子acg
www.touchgal.us,touchgal
taikonfts.4everland.link/ipfs/bafykbzacebduiodym2eruireydhkqlnufs5jyyzt3urmgbsl4zw2rcrcoaycu/,网页在线gal
2dfan.com,2dfan补丁站
www.yuhuage.win,雨花阁番号搜索
theporndude.com,theporndude
www4.javhdporn.net,javhd
123av.com,njav
